10
0.17831:59.5301,82.302;0.0226791	0.155397:-4.67709,25.6761;0.0178821	0.163571:43.4617,-71.6734;0.0301487	0.180418:-68.5284,-19.8096;-0.0171408	0.151293:67.6729,22.7019;0.0332617	0.197278:-41.6843,54.0945;0.00161915	0.128331:-29.5629,61.6052;-0.00665145	0.108606:-61.674,32.576;0.0299551	0.14577:-87.3045,-52.6492;-0.0290552	0.153976:-25.1463,51.9269;0.0233948	
0.17831:59.3721,82.2746;0.0453584	0.155397:-4.83359,25.5781;0.035764	0.163571:43.464,-71.6673;0.0602968	0.180418:-68.3926,-19.8081;-0.0342816	0.151293:67.5234,22.8759;0.066524	0.197278:-41.872,53.9175;0.00323826	0.128331:-29.6174,61.6655;-0.013303	0.108606:-61.7907,32.5065;0.0599108	0.14577:-87.2282,-52.9544;-0.0581109	0.153976:-25.334,51.8041;0.0467896	
0.17831:59.2142,82.2471;0.0680379	0.155397:-4.99015,25.4801;0.0536454	0.163571:43.4663,-71.6612;0.0904448	0.180418:-68.2568,-19.8065;-0.0514224	0.151293:67.3738,23.0498;0.0997864	0.197278:-42.0597,53.7405;0.00485742	0.128331:-29.672,61.7257;-0.0199542	0.108606:-61.9074,32.4371;0.0898653	0.14577:-87.1519,-53.2595;-0.0871654	0.153976:-25.5217,51.6812;0.0701844	
0.17831:59.0563,82.2196;0.0907175	0.155397:-5.14674,25.382;0.0715268	0.163571:43.4686,-71.6551;0.120593	0.180418:-68.121,-19.805;-0.0685638	0.151293:67.2243,23.2238;0.133048	0.197278:-42.2474,53.5635;0.00647662	0.128331:-29.7265,61.786;-0.0266054	0.108606:-62.0242,32.3677;0.11982	0.14577:-87.0757,-53.5647;-0.11622	0.153976:-25.7093,51.5584;0.0935792	
0.17831:58.8984,82.1922;0.113397	0.155397:-5.30333,25.284;0.0894082	0.163571:43.4708,-71.649;0.150741	0.180418:-67.9852,-19.8035;-0.0857061	0.151293:67.0748,23.3977;0.166307	0.197278:-42.4355,53.3865;0.00809578	0.128331:-29.7811,61.8463;-0.0332567	0.108606:-62.1409,32.2982;0.149776	0.14577:-86.9994,-53.8699;-0.145276	0.153976:-25.897,51.4356;0.116974	
0.17831:58.7404,82.1647;0.136077	0.155397:-5.45993,25.186;0.10729	0.163571:43.4731,-71.6429;0.180889	0.180418:-67.8494,-19.802;-0.102848	0.151293:66.9252,23.5717;0.199567	0.197278:-42.6239,53.2095;0.00971479	0.128331:-29.8356,61.9065;-0.0399086	0.108606:-62.2576,32.2288;0.179734	0.14577:-86.9231,-54.1751;-0.174333	0.153976:-26.0847,51.3127;0.140369	
0.17831:58.5825,82.1372;0.158756	0.155397:-5.61652,25.0879;0.125171	0.163571:43.4754,-71.6368;0.211037	0.180418:-67.7136,-19.8004;-0.119991	0.151293:66.7757,23.7456;0.232826	0.197278:-42.8123,53.0325;0.0113338	0.128331:-29.8902,61.9668;-0.0465605	0.108606:-62.3743,32.1594;0.209691	0.14577:-86.8468,-54.4802;-0.203391	0.153976:-26.2724,51.1899;0.163764	
0.17831:58.4246,82.1098;0.181436	0.155397:-5.77311,24.9899;0.143052	0.163571:43.4777,-71.6307;0.241185	0.180418:-67.5778,-19.7989;-0.137133	0.151293:66.6262,23.9196;0.266086	0.197278:-43.0008,52.8555;0.0129528	0.128331:-29.9447,62.0271;-0.0532123	0.108606:-62.4911,32.09;0.239648	0.14577:-86.7705,-54.7854;-0.232448	0.153976:-26.4601,51.0671;0.187159	
0.17831:58.2666,82.0823;0.204115	0.155397:-5.92971,24.8918;0.160934	0.163571:43.48,-71.6246;0.271333	0.180418:-67.442,-19.7974;-0.154275	0.151293:66.4766,24.0935;0.299345	0.197278:-43.1892,52.6785;0.0145718	0.128331:-29.9993,62.0874;-0.0598642	0.108606:-62.6078,32.0205;0.269606	0.14577:-86.6942,-55.0906;-0.261503	0.153976:-26.6478,50.9442;0.210553	
0.17831:58.1087,82.0548;0.226795	0.155397:-6.0863,24.7938;0.178815	0.163571:43.4823,-71.6185;0.301481	0.180418:-67.3062,-19.7959;-0.171418	0.151293:66.3271,24.2675;0.332604	0.197278:-43.3777,52.5015;0.0161908	0.128331:-30.0538,62.1476;-0.0665161	0.108606:-62.7245,31.9511;0.299563	0.14577:-86.6179,-55.3958;-0.290554	0.153976:-26.8354,50.8214;0.233948	
0.17831:57.9508,82.0274;0.249474	0.155397:-6.24289,24.6958;0.196697	0.163571:43.4846,-71.6124;0.331629	0.180418:-67.1703,-19.7943;-0.18856	0.151293:66.1776,24.4414;0.365864	0.197278:-43.5661,52.3245;0.0178099	0.128331:-30.1084,62.2079;-0.073168	0.108606:-62.8413,31.8817;0.32952	0.14577:-86.5416,-55.7009;-0.319605	0.153976:-27.0231,50.6986;0.257341	
0.17831:57.7929,81.9999;0.272148	0.155397:-6.39949,24.5977;0.214578	0.163571:43.4869,-71.6062;0.361777	0.180418:-67.0345,-19.7928;-0.205702	0.151293:66.028,24.6154;0.399123	0.197278:-43.7546,52.1475;0.0194289	0.128331:-30.1629,62.2682;-0.0798199	0.108606:-62.958,31.8123;0.359477	0.14577:-86.4653,-56.0061;-0.348657	0.153976:-27.2108,50.5757;0.28073	
0.17831:57.6349,81.9724;0.294822	0.155397:-6.55608,24.4997;0.232459	0.163571:43.4892,-71.6001;0.391925	0.180418:-66.8987,-19.7913;-0.222844	0.151293:65.8785,24.7893;0.432383	0.197278:-43.943,51.9705;0.0210479	0.128331:-30.2175,62.3284;-0.0864717	0.108606:-63.0747,31.7428;0.389435	0.14577:-86.389,-56.3113;-0.377708	0.153976:-27.3985,50.4529;0.304119	
0.17831:57.477,81.945;0.317495	0.155397:-6.71267,24.4016;0.250341	0.163571:43.4914,-71.594;0.422073	0.180418:-66.7629,-19.7898;-0.239987	0.151293:65.7289,24.9633;0.465642	0.197278:-44.1315,51.7935;0.0226669	0.128331:-30.272,62.3887;-0.0931236	0.108606:-63.1914,31.6734;0.419392	0.14577:-86.3127,-56.6165;-0.406759	0.153976:-27.5862,50.3301;0.327508	
0.17831:57.3191,81.9175;0.340169	0.155397:-6.86927,24.3036;0.268222	0.163571:43.4937,-71.5879;0.452221	0.180418:-66.6271,-19.7882;-0.257129	0.151293:65.5794,25.1372;0.498901	0.197278:-44.3199,51.6165;0.0242859	0.128331:-30.3266,62.449;-0.0997755	0.108606:-63.3082,31.604;0.449349	0.14577:-86.2364,-56.9216;-0.435811	0.153976:-27.7738,50.2072;0.350897	
0.17831:57.1611,81.89;0.362843	0.155397:-7.02586,24.2056;0.286104	0.163571:43.496,-71.5818;0.482369	0.180418:-66.4913,-19.7867;-0.274271	0.151293:65.4299,25.3112;0.532161	0.197278:-44.5084,51.4395;0.0259049	0.128331:-30.3811,62.5093;-0.106427	0.108606:-63.4249,31.5345;0.479307	0.14577:-86.1601,-57.2268;-0.464862	0.153976:-27.9616,50.0844;0.374285	
0.17831:57.0032,81.8626;0.385516	0.155397:-7.18245,24.1075;0.303985	0.163571:43.4983,-71.5757;0.512522	0.180418:-66.3555,-19.7852;-0.291414	0.151293:65.2803,25.4851;0.56542	0.197278:-44.6968,51.2625;0.0275239	0.128331:-30.4357,62.5695;-0.113079	0.108606:-63.5416,31.4651;0.50926	0.14577:-86.0838,-57.532;-0.493913	0.153976:-28.1497,49.9616;0.397674	
0.17831:56.8453,81.8351;0.40819	0.155397:-7.33905,24.0095;0.321866	0.163571:43.5006,-71.5696;0.542682	0.180418:-66.2197,-19.7837;-0.308556	0.151293:65.1308,25.6591;0.59868	0.197278:-44.8853,51.0855;0.0291429	0.128331:-30.4902,62.6298;-0.119731	0.108606:-63.6584,31.3957;0.539206	0.14577:-86.0075,-57.8372;-0.522974	0.153976:-28.3378,49.8387;0.421063	
0.17831:56.6874,81.8076;0.430863	0.155397:-7.49564,23.9115;0.339748	0.163571:43.5029,-71.5635;0.572842	0.180418:-66.0839,-19.7821;-0.325698	0.151293:64.9813,25.833;0.631939	0.197278:-45.0737,50.9085;0.0307619	0.128331:-30.5448,62.6901;-0.126383	0.108606:-63.7751,31.3263;0.569151	0.14577:-85.9312,-58.1423;-0.552037	0.153976:-28.5258,49.7159;0.444452	
0.17831:56.5294,81.7802;0.453537	0.155397:-7.65223,23.8134;0.357629	0.163571:43.5052,-71.5574;0.603002	0.180418:-65.9481,-19.7806;-0.34284	0.151293:64.8317,26.007;0.665198	0.197278:-45.2621,50.7315;0.0323815	0.128331:-30.5993,62.7504;-0.133035	0.108606:-63.8918,31.2568;0.599096	0.14577:-85.8549,-58.4475;-0.5811	0.153976:-28.7139,49.5931;0.467841	
0.17831:56.3715,81.7527;0.476211	0.155397:-7.80883,23.7154;0.37551	0.163571:43.5075,-71.5513;0.633162	0.180418:-65.8123,-19.7791;-0.359983	0.151293:64.6822,26.1809;0.698458	0.197278:-45.4506,50.5545;0.0340012	0.128331:-30.6539,62.8106;-0.139687	0.108606:-64.0086,31.1874;0.629042	0.14577:-85.7787,-58.7527;-0.610164	0.153976:-28.902,49.4702;0.49123	
0.17831:56.2136,81.7252;0.498884	0.155397:-7.96542,23.6173;0.393392	0.163571:43.5098,-71.5452;0.663322	0.180418:-65.6765,-19.7776;-0.377125	0.151293:64.5327,26.3549;0.731717	0.197278:-45.639,50.3775;0.035621	0.128331:-30.7084,62.8709;-0.146339	0.108606:-64.1261,31.118;0.658987	0.14577:-85.7024,-59.0579;-0.639227	0.153976:-29.09,49.3474;0.514619	
0.17831:56.0556,81.6978;0.521558	0.155397:-8.12216,23.5193;0.411273	0.163571:43.512,-71.5391;0.693482	0.180418:-65.5407,-19.776;-0.394267	0.151293:64.3831,26.5288;0.764977	0.197278:-45.8275,50.2005;0.0372407	0.128331:-30.763,62.9312;-0.152991	0.108606:-64.2436,31.0486;0.688932	0.14577:-85.6261,-59.3631;-0.66829	0.153976:-29.2781,49.2246;0.538007	
0.17831:55.8977,81.6703;0.544232	0.155397:-8.27895,23.4213;0.429155	0.163571:43.5143,-71.533;0.723642	0.180418:-65.4049,-19.7745;-0.41141	0.151293:64.2336,26.7028;0.798236	0.197278:-46.0159,50.0235;0.0388605	0.128331:-30.8178,62.9914;-0.159642	0.108606:-64.3611,30.9791;0.718878	0.14577:-85.5498,-59.6682;-0.697353	0.153976:-29.4662,49.1017;0.561396	
0.17831:55.7398,81.6428;0.566905	0.155397:-8.43573,23.3232;0.447036	0.163571:43.5166,-71.5269;0.753802	0.180418:-65.2691,-19.773;-0.428552	0.151293:64.084,26.8767;0.831495	0.197278:-46.2039,49.8465;0.0404803	0.128331:-30.8727,63.0517;-0.166294	0.108606:-64.4786,30.9097;0.748823	0.14577:-85.4735,-59.9734;-0.726416	0.153976:-29.6542,48.9789;0.584785	
