10
0.17831:59.5308,82.3028;0.0226792	0.155397:-4.67719,25.6761;0.017882	0.163571:43.4617,-71.6726;0.0301487	0.180418:-68.5269,-19.8094;-0.0171408	0.151293:67.6721,22.7021;0.0332616	0.197278:-41.6847,54.0949;0.00161915	0.128331:-29.5633,61.6056;-0.00665142	0.108606:-61.674,32.5756;0.0299551	0.14577:-87.3053,-52.6496;-0.0290553	0.153976:-25.1463,51.9261;0.0233947	
0.17831:59.3737,82.2761;0.0453582	0.155397:-4.83378,25.5781;0.0357641	0.163571:43.464,-71.6658;0.0602975	0.180418:-68.3895,-19.8077;-0.0342817	0.151293:67.5219,22.8763;0.0665234	0.197278:-41.8728,53.9183;0.0032383	0.128331:-29.6182,61.6662;-0.0133029	0.108606:-61.7907,32.5058;0.0599101	0.14577:-87.2298,-52.9551;-0.0581104	0.153976:-25.334,51.8026;0.0467895	
0.17831:59.2165,82.2494;0.0680372	0.155397:-4.99037,25.4801;0.0536463	0.163571:43.4663,-71.6589;0.0904456	0.180418:-68.2522,-19.806;-0.0514225	0.151293:67.3716,23.0504;0.0997857	0.197278:-42.0608,53.7417;0.00485742	0.128331:-29.6731,61.7269;-0.0199544	0.108606:-61.9074,32.436;0.0898659	0.14577:-87.1542,-53.2607;-0.087166	0.153976:-25.5217,51.679;0.0701843	
0.17831:59.0593,82.2227;0.0907167	0.155397:-5.14697,25.382;0.071528	0.163571:43.4686,-71.652;0.120594	0.180418:-68.1149,-19.8043;-0.0685633	0.151293:67.2213,23.2245;0.133048	0.197278:-42.2489,53.5651;0.00647652	0.128331:-29.7281,61.7875;-0.0266059	0.108606:-62.0242,32.3661;0.119822	0.14577:-87.0787,-53.5662;-0.116222	0.153976:-25.7093,51.5558;0.0935792	
0.17831:58.9022,82.196;0.113396	0.155397:-5.30356,25.284;0.0894094	0.163571:43.4708,-71.6452;0.150742	0.180418:-67.9775,-19.8025;-0.0857041	0.151293:67.071,23.3987;0.16631	0.197278:-42.437,53.3884;0.00809564	0.128331:-29.783,61.8482;-0.0332573	0.108606:-62.1409,32.2963;0.149776	0.14577:-87.0032,-53.8718;-0.145277	0.153976:-25.897,51.4325;0.116974	
0.17831:58.745,82.1693;0.136076	0.155397:-5.46015,25.186;0.107291	0.163571:43.4731,-71.6383;0.18089	0.180418:-67.8402,-19.8008;-0.102845	0.151293:66.9207,23.5728;0.199573	0.197278:-42.625,53.2118;0.00971484	0.128331:-29.8379,61.9088;-0.0399084	0.108606:-62.2576,32.2265;0.179731	0.14577:-86.9276,-54.1774;-0.174331	0.153976:-26.0847,51.3093;0.140369	
0.17831:58.5878,82.1426;0.158755	0.155397:-5.61674,25.0879;0.125172	0.163571:43.4754,-71.6314;0.211038	0.180418:-67.7029,-19.7989;-0.119986	0.151293:66.7704,23.747;0.232835	0.197278:-42.8131,53.0352;0.011334	0.128331:-29.8929,61.9695;-0.0465596	0.108606:-62.3743,32.1567;0.209685	0.14577:-86.8521,-54.4829;-0.203385	0.153976:-26.2724,51.1861;0.163764	
0.17831:58.4307,82.1159;0.181435	0.155397:-5.77334,24.9899;0.143054	0.163571:43.4777,-71.6246;0.241186	0.180418:-67.5656,-19.797;-0.137128	0.151293:66.6201,23.9211;0.266096	0.197278:-43.0007,52.8586;0.0129532	0.128331:-29.9478,62.0299;-0.0532107	0.108606:-62.4911,32.0869;0.239639	0.14577:-86.7766,-54.7885;-0.232439	0.153976:-26.4602,51.0629;0.187158	
0.17831:58.2735,82.0892;0.204115	0.155397:-5.92993,24.8918;0.160935	0.163571:43.48,-71.6177;0.271334	0.180418:-67.4282,-19.7951;-0.15427	0.151293:66.4698,24.0952;0.299356	0.197278:-43.1884,52.682;0.0145724	0.128331:-30.0027,62.0902;-0.0598618	0.108606:-62.6078,32.0172;0.269595	0.14577:-86.701,-55.094;-0.261495	0.153976:-26.648,50.9397;0.210553	
0.17831:58.1163,82.0625;0.226794	0.155397:-6.08652,24.7938;0.178816	0.163571:43.4823,-71.6108;0.301482	0.180418:-67.2909,-19.7932;-0.171412	0.151293:66.3195,24.2694;0.332615	0.197278:-43.3761,52.5053;0.0161916	0.128331:-30.0576,62.1505;-0.0665134	0.108606:-62.7245,31.9477;0.299553	0.14577:-86.6255,-55.3996;-0.290552	0.153976:-26.8359,50.8165;0.233948	
0.17831:57.9592,82.0358;0.249474	0.155397:-6.24312,24.6958;0.196698	0.163571:43.4846,-71.604;0.33163	0.180418:-67.1536,-19.7913;-0.188554	0.151293:66.1692,24.4435;0.365874	0.197278:-43.5638,52.3287;0.0178106	0.128331:-30.1126,62.2107;-0.0731653	0.108606:-62.8413,31.878;0.32951	0.14577:-86.55,-55.7051;-0.319609	0.153976:-27.0238,50.6932;0.257343	
